Reaction.Type,y,I,day
2,0,49,0.032426121
2,0,48,0.066845418
2,0,47,0.074831455
2,0,46,0.211352541
1,1,45,0.24027603
2,0,46,0.242973846
1,1,45,0.243187306
2,0,46,0.247938732
1,1,45,0.262374499
1,1,46,0.286081828
2,0,47,0.323527426
2,0,46,0.36686515
2,0,45,0.399632522
2,0,44,0.434659497
2,0,43,0.540989774
1,1,42,0.608282549
2,0,43,0.622852782
2,0,42,0.630599455
2,0,41,0.709476964
2,0,40,0.769545774
2,0,39,0.770473879
1,1,38,0.954554482
1,1,39,0.964371193
1,1,40,1.023075164
1,1,41,1.05032742
1,1,42,1.05731465
2,0,43,1.17905265
1,1,42,1.179490771
2,0,43,1.182549655
1,1,42,1.184387564
1,1,43,1.322501428
1,1,44,1.352054608
2,0,45,1.403544883
1,1,44,1.520493949
1,1,45,1.530755473
1,1,46,1.545676963
1,1,47,1.617707407
1,1,48,1.685733853
2,0,49,1.687824464
2,0,48,1.689760756
1,1,47,1.696264949
1,1,48,1.712722778
2,0,49,1.837902192
2,0,48,1.893696334
1,1,47,1.958097487
1,1,48,2.001975195
2,0,49,2.004458271
2,0,48,2.007601155
2,0,47,2.031709979
1,1,46,2.111880748
2,0,47,2.166186522
1,1,46,2.2435199
1,1,47,2.275460952
1,1,48,2.329442084
1,1,49,2.402577084
1,1,50,2.408063169
1,1,51,2.41344714
1,1,52,2.506078756
2,0,53,2.508450555
1,1,52,2.525442883
1,1,53,2.592581859
1,1,54,2.617124931
1,1,55,2.618735915
2,0,56,2.626513684
1,1,55,2.651590732
2,0,56,2.718460024
1,1,55,2.727388125
2,0,56,2.730783907
1,1,55,2.744552583
1,1,56,2.747200612
1,1,57,2.74931315
2,0,58,2.802018121
2,0,57,2.802790357
1,1,56,2.829846412
1,1,57,2.933968201
1,1,58,2.938751651
1,1,59,2.951247515
1,1,60,2.961856409
1,1,61,2.97504707
1,1,62,3.005062748
1,1,63,3.029433669
2,0,64,3.075854993
1,1,63,3.079033134
2,0,64,3.081945595
1,1,63,3.221117716
1,1,64,3.228449154
1,1,65,3.260072456
1,1,66,3.322292096
2,0,67,3.403161759
1,1,66,3.477198878
2,0,67,3.553843862
1,1,66,3.558813564
1,1,67,3.574030173
1,1,68,3.587300487
2,0,69,3.668292803
1,1,68,3.723667942
2,0,69,3.784946207
2,0,68,3.834210399
1,1,67,3.83567904
2,0,68,3.840135454
2,0,67,3.871075196
1,1,66,3.903397078
2,0,67,3.91139782
2,0,66,3.978448661
1,1,65,4.011544815
2,0,66,4.034500971
1,1,65,4.118005191
1,1,66,4.131696267
2,0,67,4.162942907
1,1,66,4.181993926
1,1,67,4.208268523
1,1,68,4.212335973
1,1,69,4.224223503
1,1,70,4.230378
1,1,71,4.257860022
1,1,72,4.262236131
1,1,73,4.319287799
1,1,74,4.329917264
2,0,75,4.431981209
1,1,74,4.435404
1,1,75,4.437472924
2,0,76,4.448183479
1,1,75,4.452665444
1,1,76,4.514812002
2,0,77,4.537802017
2,0,76,4.542949052
1,1,75,4.605699825
2,0,76,4.614993242
1,1,75,4.61852526
1,1,76,4.667855199
1,1,77,4.682326989
1,1,78,4.724377091
1,1,79,4.759474157
2,0,80,4.759539378
2,0,79,4.766215911
1,1,78,4.79842607
2,0,79,4.816962115
1,1,78,4.82869925
1,1,79,4.847722594
2,0,80,4.863485008
1,1,79,4.871975915
2,0,80,4.877905002
2,0,79,4.878536383
2,0,78,4.88419848
1,1,77,4.929521368
2,0,78,4.982856349
2,0,77,5.104972655
2,0,76,5.106750692
2,0,75,5.139625097
2,0,74,5.194360133
2,0,73,5.214396989
1,1,72,5.243445859
1,1,73,5.256840568
1,1,74,5.292994219
2,0,75,5.354460802
2,0,74,5.355029941
1,1,73,5.355378417
2,0,74,5.357075391
1,1,73,5.378395299
1,1,74,5.404291163
2,0,75,5.407587667
1,1,74,5.466789102
1,1,75,5.480716747
2,0,76,5.493032012
1,1,75,5.506858491
1,1,76,5.530165292
1,1,77,5.551797666
1,1,78,5.561420748
2,0,79,5.566525102
1,1,78,5.610354054
1,1,79,5.687052642
1,1,80,5.707086341
1,1,81,5.757224459
2,0,82,5.785161585
2,0,81,5.788059333
1,1,80,5.824722104
2,0,81,5.866585505
2,0,80,5.885562651
1,1,79,5.896383283
2,0,80,5.909245728
2,0,79,5.909757382
1,1,78,5.933889674
1,1,79,5.98715656
2,0,80,6.000885079
2,0,79,6.005740346
2,0,78,6.009353026
1,1,77,6.02745116
2,0,78,6.092991253
2,0,77,6.135021197
1,1,76,6.16092258
1,1,77,6.204308322
1,1,78,6.204488149
2,0,79,6.207109459
1,1,78,6.209777054
1,1,79,6.215707207
1,1,80,6.244236487
2,0,81,6.244237326
1,1,80,6.251394071
1,1,81,6.309059404
2,0,82,6.341018824
2,0,81,6.397050882
2,0,80,6.439661505
1,1,79,6.447693843
1,1,80,6.466970004
2,0,81,6.494684308
1,1,80,6.581050676
1,1,81,6.586418565
2,0,82,6.589441405
2,0,81,6.620077053
2,0,80,6.62273363
1,1,79,6.626831146
2,0,80,6.682447576
1,1,79,6.713811461
1,1,80,6.72605951
1,1,81,6.745842503
1,1,82,6.748974758
2,0,83,6.80434786
2,0,82,6.854003586
2,0,81,6.9132294
1,1,80,6.980026653
1,1,81,6.99464714
1,1,82,7.007371751
2,0,83,7.007901779
1,1,82,7.0320961
2,0,83,7.055076655
1,1,82,7.066276753
1,1,83,7.094969588
1,1,84,7.152966267
1,1,85,7.178162935
1,1,86,7.185342197
1,1,87,7.206679285
2,0,88,7.325142254
1,1,87,7.386845788
1,1,88,7.395207834
1,1,89,7.470901464
2,0,90,7.474615193
2,0,89,7.506510079
2,0,88,7.621627602
2,0,87,7.637652724
1,1,86,7.661467481
2,0,87,7.685276301
1,1,86,7.695632481
1,1,87,7.716806945
1,1,88,7.732253088
1,1,89,7.764917988
2,0,90,7.812028644
1,1,89,7.822491019
2,0,90,7.825308418
2,0,89,7.860070552
1,1,88,7.874129482
1,1,89,7.880521251
2,0,90,7.90481677
1,1,89,7.915721554
2,0,90,7.956531166
1,1,89,7.974981246
2,0,90,8.023368113
1,1,89,8.0770515
1,1,90,8.083102091
1,1,91,8.093440279
1,1,92,8.112492774
2,0,93,8.137869549
2,0,92,8.150446641
2,0,91,8.159022923
2,0,90,8.159541781
2,0,89,8.163398006
1,1,88,8.196808768
1,1,89,8.216016807
1,1,90,8.265162103
2,0,91,8.316940773
1,1,90,8.340401053
1,1,91,8.347006673
2,0,92,8.383581336
1,1,91,8.384150017
2,0,92,8.384284506
1,1,91,8.496340179
2,0,92,8.568852645
1,1,91,8.571486393
1,1,92,8.629154992
2,0,93,8.654297075
1,1,92,8.66736277
2,0,93,8.681162619
2,0,92,8.696461799
1,1,91,8.779594519
2,0,92,8.792418475
2,0,91,8.811889643
1,1,90,8.885500604
2,0,91,9.01552537
1,1,90,9.024790815
2,0,91,9.06827024
1,1,90,9.104076668
1,1,91,9.107519211
2,0,92,9.133984667
2,0,91,9.141940375
1,1,90,9.152590593
2,0,91,9.223097474
1,1,90,9.275463674
2,0,91,9.301716768
2,0,90,9.307647996
1,1,89,9.322102518
2,0,90,9.368547058
2,0,89,9.402390773
1,1,88,9.432267119
1,1,89,9.438658385
1,1,90,9.499615711
2,0,91,9.509659264
1,1,90,9.553052918
1,1,91,9.560030834
1,1,92,9.565660184
1,1,93,9.574913406
1,1,94,9.584168169
1,1,95,9.616035331
1,1,96,9.618715873
2,0,97,9.634745026
1,1,96,9.635447776
1,1,97,9.642188999
2,0,98,9.645201869
2,0,97,9.653268692
2,0,96,9.682485667
1,1,95,9.720067114
2,0,96,9.752495771
2,0,95,9.758389142
2,0,94,9.762421739
1,1,93,9.773530619
1,1,94,9.804424666
1,1,95,9.816578762
2,0,96,9.838683292
1,1,95,9.848725869
1,1,96,9.85677779
2,0,97,9.893093281
1,1,96,9.903295184
2,0,97,9.91159515
1,1,96,9.935550946
1,1,97,9.943488959
1,1,98,9.949297148
1,1,99,9.952160297
2,0,100,9.975660424
1,1,99,9.985358654
1,1,100,9.9864607
1,1,101,10.00019163
2,0,102,10.00035938
1,1,101,10.00940853
2,0,102,10.04407595
1,1,101,10.0447496
1,1,102,10.05324645
2,0,103,10.06420906
1,1,102,10.06925079
2,0,103,10.07871274
2,0,102,10.08125067
1,1,101,10.08812676
1,1,102,10.09549022
1,1,103,10.09911485
2,0,104,10.1075035
1,1,103,10.12468481
1,1,104,10.13497892
1,1,105,10.15066977
1,1,106,10.15628661
1,1,107,10.1733626
1,1,108,10.17646995
2,0,109,10.21434933
1,1,108,10.2284603
1,1,109,10.22877234
1,1,110,10.24329732
1,1,111,10.26545898
2,0,112,10.28509829
1,1,111,10.3191327
1,1,112,10.32093477
2,0,113,10.32542252
2,0,112,10.33218507
1,1,111,10.35366678
2,0,112,10.35975458
1,1,111,10.37523643
2,0,112,10.44932946
1,1,111,10.46057037
1,1,112,10.48957487
1,1,113,10.49689546
1,1,114,10.50346851
2,0,115,10.51004658
2,0,114,10.51337546
1,1,113,10.54353853
2,0,114,10.54470597
2,0,113,10.5455651
1,1,112,10.57400584
1,1,113,10.66709294
1,1,114,10.69253671
2,0,115,10.73576944
2,0,114,10.74487857
2,0,113,10.74935636
2,0,112,10.74936559
1,1,111,10.75616726
2,0,112,10.77822755
1,1,111,10.78894441
1,1,112,10.80110585
1,1,113,10.82369926
1,1,114,10.83131263
1,1,115,10.90630071
1,1,116,10.94867794
1,1,117,10.95609277
1,1,118,10.95617752
2,0,119,10.96366975
1,1,118,11.03232553
2,0,119,11.05683433
2,0,118,11.06482086
1,1,117,11.10084172
1,1,118,11.11021211
2,0,119,11.11073382
1,1,118,11.12648742
1,1,119,11.1769163
2,0,120,11.18374798
1,1,119,11.20037232
2,0,120,11.24915339
2,0,119,11.25174578
2,0,118,11.26561064
1,1,117,11.30951333
2,0,118,11.33183082
1,1,117,11.33369886
2,0,118,11.34103274
1,1,117,11.37262362
2,0,118,11.38769656
1,1,117,11.42352019
1,1,118,11.49291931
1,1,119,11.51136329
1,1,120,11.53775642
2,0,121,11.55036623
1,1,120,11.55585244
2,0,121,11.56003198
2,0,120,11.61446116
2,0,119,11.64267789
1,1,118,11.65278881
2,0,119,11.66666368
2,0,118,11.68000698
1,1,117,11.70003484
2,0,118,11.70637818
2,0,117,11.71939414
1,1,116,11.75873846
2,0,117,11.7659382
2,0,116,11.77066817
1,1,115,11.77892599
2,0,116,11.80516478
1,1,115,11.82267699
1,1,116,11.8233902
2,0,117,11.84680032
2,0,116,11.84982501
2,0,115,11.85563065
1,1,114,11.86414839
1,1,115,11.89104086
2,0,116,11.90646175
1,1,115,11.92185071
1,1,116,11.92833877
2,0,117,11.93540734
1,1,116,11.96985996
2,0,117,11.98987603
1,1,116,12.01109968
1,1,117,12.01449775
2,0,118,12.02822731
2,0,117,12.05832875
2,0,116,12.06948819
2,0,115,12.07670196
2,0,114,12.08854939
2,0,113,12.17230288
1,1,112,12.19297198
2,0,113,12.20268811
1,1,112,12.22343716
1,1,113,12.24112497
2,0,114,12.29744618
1,1,113,12.30392422
2,0,114,12.30445424
1,1,113,12.33547655
1,1,114,12.35613303
2,0,115,12.39261105
2,0,114,12.39510491
2,0,113,12.40001084
2,0,112,12.40934483
1,1,111,12.42647432
2,0,112,12.48207465
2,0,111,12.48264943
1,1,110,12.50412774
1,1,111,12.53306673
2,0,112,12.54979292
1,1,111,12.55233067
2,0,112,12.55353913
2,0,111,12.58308382
1,1,110,12.60365272
1,1,111,12.6119119
1,1,112,12.61846989
2,0,113,12.62023598
1,1,112,12.64895497
1,1,113,12.67085221
1,1,114,12.67224527
2,0,115,12.68213941
2,0,114,12.69268652
1,1,113,12.6975432
2,0,114,12.72173784
1,1,113,12.72867279
2,0,114,12.75237391
2,0,113,12.76307584
2,0,112,12.77990026
1,1,111,12.7998133
2,0,112,12.8104361
1,1,111,12.82857863
2,0,112,12.85691741
2,0,111,12.87971846
1,1,110,12.8806301
1,1,111,12.89535365
2,0,112,12.91927926
2,0,111,12.93020789
1,1,110,12.94892793
1,1,111,12.96864894
2,0,112,12.97774208
1,1,111,12.98085191
1,1,112,12.99966236
1,1,113,13.00103369
1,1,114,13.00970582
1,1,115,13.01834673
1,1,116,13.02300717
2,0,117,13.03707822
2,0,116,13.05390633
1,1,115,13.08262771
1,1,116,13.16732672
1,1,117,13.1757649
1,1,118,13.19461998
2,0,119,13.20224463
1,1,118,13.2035948
1,1,119,13.20932536
2,0,120,13.21642652
1,1,119,13.22406759
2,0,120,13.23134076
2,0,119,13.23763617
2,0,118,13.29086559
2,0,117,13.30661751
2,0,116,13.32911242
2,0,115,13.33060351
2,0,114,13.33362523
2,0,113,13.34747702
1,1,112,13.35501632
1,1,113,13.35770676
2,0,114,13.3836379
2,0,113,13.42560317
1,1,112,13.42724923
1,1,113,13.43316027
2,0,114,13.48864736
2,0,113,13.51557485
2,0,112,13.51754188
2,0,111,13.52289314
2,0,110,13.52416283
2,0,109,13.52885775
2,0,108,13.53596247
1,1,107,13.5362526
1,1,108,13.54015831
2,0,109,13.55325651
2,0,108,13.59387893
2,0,107,13.59891867
1,1,106,13.65975031
1,1,107,13.65982784
1,1,108,13.66130376
1,1,109,13.68255961
1,1,110,13.68578569
2,0,111,13.69946811
2,0,110,13.71179594
2,0,109,13.73026964
2,0,108,13.734493
1,1,107,13.73549104
1,1,108,13.73943343
2,0,109,13.76920885
2,0,108,13.77089536
2,0,107,13.79034751
1,1,106,13.79376007
1,1,107,13.80431409
2,0,108,13.80904833
1,1,107,13.81287967
1,1,108,13.83340008
2,0,109,13.83599033
2,0,108,13.86957451
1,1,107,13.87556433
1,1,108,13.87982973
2,0,109,13.88584913
2,0,108,13.8862883
2,0,107,13.88710476
1,1,106,13.89444294
1,1,107,13.89936905
2,0,108,13.91578578
1,1,107,13.94437207
1,1,108,13.9661106
2,0,109,14.00360589
1,1,108,14.00725497
2,0,109,14.04183471
2,0,108,14.06459607
2,0,107,14.10748638
2,0,106,14.12055032
1,1,105,14.16037819
1,1,106,14.18183555
1,1,107,14.20417135
2,0,108,14.24384703
1,1,107,14.24510541
2,0,108,14.25379415
1,1,107,14.28180257
2,0,108,14.28469723
2,0,107,14.28694074
1,1,106,14.30458883
2,0,107,14.3187887
1,1,106,14.320875
1,1,107,14.32749352
2,0,108,14.34431857
2,0,107,14.34616702
2,0,106,14.35436037
1,1,105,14.38134954
2,0,106,14.43361486
1,1,105,14.44692909
1,1,106,14.50556894
2,0,107,14.52876047
1,1,106,14.54791701
2,0,107,14.55021363
2,0,106,14.58458238
1,1,105,14.60898944
2,0,106,14.6124992
1,1,105,14.6226902
1,1,106,14.64512383
2,0,107,14.66012267
2,0,106,14.66038901
2,0,105,14.66839632
2,0,104,14.66907427
2,0,103,14.70027358
2,0,102,14.71145341
2,0,101,14.73196856
2,0,100,14.74316516
2,0,99,14.75405502
2,0,98,14.7878605
2,0,97,14.79340855
2,0,96,14.79998678
1,1,95,14.81074277
1,1,96,14.81333334
1,1,97,14.84654596
2,0,98,14.84925403
1,1,97,14.85458566
2,0,98,14.86651326
2,0,97,14.87719367
2,0,96,14.91813401
2,0,95,14.96076367
2,0,94,14.96607033
1,1,93,14.97440395
1,1,94,14.98764368
2,0,95,14.98852793
1,1,94,14.99644842
1,1,95,14.99956892
2,0,96,15.0669683
2,0,95,15.07550522
2,0,94,15.1025689
1,1,93,15.10740742
1,1,94,15.12907893
2,0,95,15.13989743
1,1,94,15.16972819
1,1,95,15.21727672
1,1,96,15.22069689
1,1,97,15.22551991
2,0,98,15.30134553
1,1,97,15.30632337
2,0,98,15.32234377
1,1,97,15.34384457
1,1,98,15.35094981
1,1,99,15.36212954
1,1,100,15.36638452
1,1,101,15.36699575
1,1,102,15.37557725
1,1,103,15.37710634
1,1,104,15.38578989
1,1,105,15.4505712
1,1,106,15.46352563
2,0,107,15.47245972
2,0,106,15.48033958
1,1,105,15.4863028
1,1,106,15.49699402
1,1,107,15.54663243
1,1,108,15.57824613
2,0,109,15.61028412
1,1,108,15.62596668
1,1,109,15.63819235
1,1,110,15.64404219
1,1,111,15.66579166
2,0,112,15.70849086
1,1,111,15.71652403
2,0,112,15.72563575
2,0,111,15.8110645
2,0,110,15.82778208
1,1,109,15.84840406
2,0,110,15.8491305
2,0,109,15.85250634
2,0,108,15.86119242
1,1,107,15.90621682
2,0,108,15.93557841
1,1,107,15.9370289
1,1,108,15.95933171
1,1,109,16.00493159
1,1,110,16.06329959
2,0,111,16.0742127
1,1,110,16.07714985
1,1,111,16.10798043
1,1,112,16.12205548
2,0,113,16.14159009
1,1,112,16.14950027
1,1,113,16.16008977
1,1,114,16.20045534
1,1,115,16.24316725
2,0,116,16.27652749
2,0,115,16.27744803
1,1,114,16.27762112
1,1,115,16.32359797
1,1,116,16.33163377
2,0,117,16.33285408
1,1,116,16.34436058
1,1,117,16.3645061
1,1,118,16.3850644
1,1,119,16.41133092
1,1,120,16.41148599
1,1,121,16.46591356
1,1,122,16.47294888
2,0,123,16.4884166
1,1,122,16.49388274
1,1,123,16.53195088
1,1,124,16.53729183
1,1,125,16.53991864
1,1,126,16.54677095
1,1,127,16.54702906
1,1,128,16.55307779
1,1,129,16.55757433
2,0,130,16.57080343
1,1,129,16.59086571
1,1,130,16.59966281
2,0,131,16.63279589
1,1,130,16.66818122
2,0,131,16.68090458
1,1,130,16.68276293
2,0,131,16.68767017
1,1,130,16.69106031
1,1,131,16.70379189
2,0,132,16.71362605
1,1,131,16.72323787
2,0,132,16.78050799
1,1,131,16.80541037
2,0,132,16.81568656
1,1,131,16.83949311
2,0,132,16.85429499
2,0,131,16.86055246
1,1,130,16.88766989
1,1,131,16.91886582
2,0,132,16.92156991
2,0,131,16.92432492
2,0,130,16.92686321
1,1,129,16.94628064
2,0,130,16.97469927
1,1,129,16.98766228
1,1,130,16.99367859
2,0,131,16.99419872
1,1,130,17.0051272
1,1,131,17.0108472
1,1,132,17.0108489
2,0,133,17.01649277
1,1,132,17.05632201
2,0,133,17.06292408
1,1,132,17.06516461
1,1,133,17.06664852
2,0,134,17.08665788
1,1,133,17.10174905
2,0,134,17.12361041
1,1,133,17.12909082
1,1,134,17.13740645
2,0,135,17.15305063
1,1,134,17.16211398
2,0,135,17.16672845
2,0,134,17.20019795
1,1,133,17.23098428
2,0,134,17.24161932
2,0,133,17.25329054
1,1,132,17.25460657
2,0,133,17.25625009
1,1,132,17.26464446
1,1,133,17.26946277
1,1,134,17.28354937
2,0,135,17.29041966
1,1,134,17.29395338
2,0,135,17.29578345
2,0,134,17.29856947
