P1,P2,R1,Reaction Type
50,50,50,9
51,50,50,3
51,51,49,6
51,51,48,8
51,50,48,9
52,50,48,9
53,50,48,2
53,49,49,10
53,50,49,8
53,49,49,3
53,50,48,9
54,50,48,5
54,49,47,2
54,48,48,2
54,47,49,2
54,46,50,2
54,45,51,9
55,45,51,5
55,44,50,1
54,44,51,10
54,45,51,1
53,45,52,4
53,45,53,3
53,46,52,9
54,46,52,9
55,46,52,7
54,46,52,10
54,47,52,10
54,48,52,9
55,48,52,3
55,49,51,1
54,49,52,4
54,49,53,10
54,50,53,8
54,49,53,8
54,48,53,8
54,47,53,10
54,48,53,5
54,47,52,3
54,48,51,7
53,48,51,10
53,49,51,4
53,49,52,10
53,50,52,6
53,50,51,7
52,50,51,9
53,50,51,8
53,49,51,8
53,48,51,8
53,47,51,3
53,48,50,6
53,48,49,4
53,48,50,8
53,47,50,6
53,47,49,4
53,47,50,8
53,46,50,10
53,47,50,3
53,48,49,8
53,47,49,3
53,48,48,1
52,48,49,5
52,47,48,4
52,47,49,10
52,48,49,5
52,47,48,10
52,48,48,7
51,48,48,7
50,48,48,9
51,48,48,7
50,48,48,9
51,48,48,2
51,47,49,8
51,46,49,1
50,46,50,2
50,45,51,9
51,45,51,10
51,46,51,5
51,45,50,9
52,45,50,9
53,45,50,10
53,46,50,1
52,46,51,6
52,46,50,3
52,47,49,2
52,46,50,6
52,46,49,10
52,47,49,9
53,47,49,2
53,46,50,4
53,46,51,1
52,46,52,1
51,46,53,2
51,45,54,2
51,44,55,1
50,44,56,4
50,44,57,4
50,44,58,8
50,43,58,3
50,44,57,7
49,44,57,9
50,44,57,5
50,43,56,2
50,42,57,10
50,43,57,10
50,44,57,4
50,44,58,9
51,44,58,9
52,44,58,10
52,45,58,6
52,45,57,3
52,46,56,8
52,45,56,10
52,46,56,3
52,47,55,3
52,48,54,1
51,48,55,7
50,48,55,2
50,47,56,5
50,46,55,2
50,45,56,4
50,45,57,9
51,45,57,4
51,45,58,10
51,46,58,10
51,47,58,6
51,47,57,9
52,47,57,5
52,46,56,4
52,46,57,6
52,46,56,4
52,46,57,1
51,46,58,8
51,45,58,5
51,44,57,1
50,44,58,3
50,45,57,3
50,46,56,10
50,47,56,2
50,46,57,9
51,46,57,8
51,45,57,4
51,45,58,2
51,44,59,4
51,44,60,7
50,44,60,4
50,44,61,10
50,45,61,3
50,46,60,7
49,46,60,6
49,46,59,2
49,45,60,2
49,44,61,9
50,44,61,3
50,45,60,6
50,45,59,6
50,45,58,4
50,45,59,3
50,46,58,10
50,47,58,6
50,47,57,8
50,46,57,9
51,46,57,8
51,45,57,3
51,46,56,8
51,45,56,4
51,45,57,3
51,46,56,6
51,46,55,6
51,46,54,3
51,47,53,6
51,47,52,10
51,48,52,6
51,48,51,2
51,47,52,7
50,47,52,9
51,47,52,1
50,47,53,5
50,46,52,9
51,46,52,9
52,46,52,3
52,47,51,3
52,48,50,4
52,48,51,10
52,49,51,6
52,49,50,1
51,49,51,2
51,48,52,1
50,48,53,6
50,48,52,9
51,48,52,6
51,48,51,2
51,47,52,5
51,46,51,7
50,46,51,4
50,46,52,8
50,45,52,2
50,44,53,6
50,44,52,2
50,43,53,1
49,43,54,10
49,44,54,4
49,44,55,10
49,45,55,6
49,45,54,7
48,45,54,10
48,46,54,10
48,47,54,7
47,47,54,7
46,47,54,10
46,48,54,10
46,49,54,7
45,49,54,9
46,49,54,6
46,49,53,4
46,49,54,8
46,48,54,10
46,49,54,6
46,49,53,3
46,50,52,6
46,50,51,8
46,49,51,9
47,49,51,9
48,49,51,1
47,49,52,8
47,48,52,9
48,48,52,8
48,47,52,5
48,46,51,10
48,47,51,4
48,47,52,1
47,47,53,3
47,48,52,4
47,48,53,5
47,47,52,1
46,47,53,1
45,47,54,7
44,47,54,3
44,48,53,10
44,49,53,3
44,50,52,3
44,51,51,6
44,51,50,4
44,51,51,8
44,50,51,9
45,50,51,9
46,50,51,7
45,50,51,1
44,50,52,6
44,50,51,9
45,50,51,9
46,50,51,6
46,50,50,1
45,50,51,1
44,50,52,1
43,50,53,3
43,51,52,7
42,51,52,3
42,52,51,10
42,53,51,4
42,53,52,4
42,53,53,8
42,52,53,8
42,51,53,2
42,50,54,2
42,49,55,8
42,48,55,6
42,48,54,9
43,48,54,3
43,49,53,4
43,49,54,8
43,48,54,1
42,48,55,8
42,47,55,7
41,47,55,10
41,48,55,9
42,48,55,1
41,48,56,10
41,49,56,1
40,49,57,9
41,49,57,6
41,49,56,2
41,48,57,4
41,48,58,7
40,48,58,1
39,48,59,1
38,48,60,7
37,48,60,9
38,48,60,5
38,47,59,2
38,46,60,7
37,46,60,6
37,46,59,9
38,46,59,6
38,46,58,1
37,46,59,6
37,46,58,5
37,45,57,6
37,45,56,6
37,45,55,9
38,45,55,5
38,44,54,2
38,43,55,2
38,42,56,4
38,42,57,7
37,42,57,9
38,42,57,3
38,43,56,7
37,43,56,4
37,43,57,9
38,43,57,2
38,42,58,6
38,42,57,6
38,42,56,7
37,42,56,3
37,43,55,6
37,43,54,8
37,42,54,4
37,42,55,9
38,42,55,10
38,43,55,7
37,43,55,10
37,44,55,9
38,44,55,7
37,44,55,10
37,45,55,4
37,45,56,4
37,45,57,4
37,45,58,10
37,46,58,6
37,46,57,3
37,47,56,3
37,48,55,9
38,48,55,8
38,47,55,4
38,47,56,4
38,47,57,8
38,46,57,7
37,46,57,10
37,47,57,9
38,47,57,9
39,47,57,9
40,47,57,2
40,46,58,6
40,46,57,8
40,45,57,4
40,45,58,6
40,45,57,10
40,46,57,4
40,46,58,10
40,47,58,6
40,47,57,9
41,47,57,7
40,47,57,7
39,47,57,3
39,48,56,6
39,48,55,8
39,47,55,3
39,48,54,4
39,48,55,7
38,48,55,6
38,48,54,5
38,47,53,1
37,47,54,2
37,46,55,10
37,47,55,9
38,47,55,6
38,47,54,4
38,47,55,8
38,46,55,9
39,46,55,8
39,45,55,5
39,44,54,4
39,44,55,2
39,43,56,2
39,42,57,6
39,42,56,1
38,42,57,4
38,42,58,9
39,42,58,10
39,43,58,9
40,43,58,4
40,43,59,10
40,44,59,9
41,44,59,3
41,45,58,9
42,45,58,1
41,45,59,2
41,44,60,6
41,44,59,6
41,44,58,2
41,43,59,8
41,42,59,10
41,43,59,9
42,43,59,4
42,43,60,1
41,43,61,3
41,44,60,6
41,44,59,1
40,44,60,7
39,44,60,2
39,43,61,10
39,44,61,3
39,45,60,8
39,44,60,2
39,43,61,4
39,43,62,1
38,43,63,3
38,44,62,2
38,43,63,8
38,42,63,3
38,43,62,3
38,44,61,8
38,43,61,6
38,43,60,1
37,43,61,6
37,43,60,7
36,43,60,1
35,43,61,10
35,44,61,8
35,43,61,9
36,43,61,3
36,44,60,2
36,43,61,10
36,44,61,9
37,44,61,4
37,44,62,9
38,44,62,5
38,43,61,6
38,43,60,3
38,44,59,3
38,45,58,8
38,44,58,2
38,43,59,7
37,43,59,2
37,42,60,1
36,42,61,6
36,42,60,2
36,41,61,9
37,41,61,6
37,41,60,3
37,42,59,8
37,41,59,8
37,40,59,7
36,40,59,6
36,40,58,6
36,40,57,2
36,39,58,2
36,38,59,10
36,39,59,8
36,38,59,3
36,39,58,10
36,40,58,4
36,40,59,4
36,40,60,6
36,40,59,8
36,39,59,4
36,39,60,5
36,38,59,3
36,39,58,1
35,39,59,10
35,40,59,6
35,40,58,7
34,40,58,6
34,40,57,9
35,40,57,7
34,40,57,9
35,40,57,9
36,40,57,3
36,41,56,6
36,41,55,6
36,41,54,2
36,40,55,6
36,40,54,4
36,40,55,7
35,40,55,5
35,39,54,4
35,39,55,7
34,39,55,7
33,39,55,3
33,40,54,3
33,41,53,1
32,41,54,3
32,42,53,4
32,42,54,7
31,42,54,2
31,41,55,3
31,42,54,5
31,41,53,2
31,40,54,4
31,40,55,5
31,39,54,4
31,39,55,9
32,39,55,6
32,39,54,7
31,39,54,8
31,38,54,4
31,38,55,6
31,38,54,6
31,38,53,3
31,39,52,1
30,39,53,4
30,39,54,7
29,39,54,6
29,39,53,8
29,38,53,9
30,38,53,9
31,38,53,5
31,37,52,10
31,38,52,3
31,39,51,2
31,38,52,3
31,39,51,4
31,39,52,3
31,40,51,10
31,41,51,8
31,40,51,3
31,41,50,1
30,41,51,1
29,41,52,7
28,41,52,3
28,42,51,2
28,41,52,9
29,41,52,9
30,41,52,1
29,41,53,10
29,42,53,9
30,42,53,3
30,43,52,4
30,43,53,4
30,43,54,3
30,44,53,2
30,43,54,3
30,44,53,8
30,43,53,4
30,43,54,4
30,43,55,3
30,44,54,9
