S,I,R,Reaction Type
100,1,0,6
101,1,0,6
102,1,0,6
103,1,0,3
102,1,0,6
103,1,0,1
102,2,0,6
103,2,0,6
104,2,0,6
105,2,0,6
106,2,0,6
107,2,0,1
106,3,0,1
105,4,0,1
104,5,0,1
103,6,0,6
104,6,0,1
103,7,0,2
103,6,1,6
104,6,1,2
104,5,2,6
105,5,2,6
106,5,2,2
106,4,3,6
107,4,3,1
106,5,3,6
107,5,3,1
106,6,3,1
105,7,3,1
104,8,3,2
104,7,4,1
103,8,4,2
103,7,5,1
102,8,5,1
101,9,5,1
100,10,5,6
101,10,5,2
101,9,6,1
100,10,6,1
99,11,6,2
99,10,7,1
98,11,7,1
97,12,7,2
97,11,8,6
98,11,8,6
99,11,8,2
99,10,9,1
98,11,9,6
99,11,9,1
98,12,9,6
99,12,9,1
98,13,9,6
99,13,9,1
98,14,9,6
99,14,9,6
100,14,9,1
99,15,9,1
98,16,9,1
97,17,9,6
98,17,9,2
98,16,10,1
97,17,10,2
97,16,11,2
97,15,12,2
97,14,13,2
97,13,14,2
97,12,15,6
98,12,15,1
97,13,15,6
98,13,15,6
99,13,15,1
98,14,15,2
98,13,16,6
99,13,16,1
98,14,16,1
97,15,16,1
96,16,16,1
95,17,16,1
94,18,16,1
93,19,16,1
92,20,16,1
91,21,16,1
90,22,16,2
90,21,17,1
89,22,17,6
90,22,17,1
89,23,17,2
89,22,18,6
90,22,18,1
89,23,18,6
90,23,18,1
89,24,18,1
88,25,18,2
88,24,19,2
88,23,20,1
87,24,20,2
87,23,21,1
86,24,21,2
86,23,22,6
87,23,22,1
86,24,22,2
86,23,23,2
86,22,24,2
86,21,25,1
85,22,25,6
86,22,25,2
86,21,26,5
86,21,25,2
86,20,26,2
86,19,27,2
86,18,28,1
85,19,28,1
84,20,28,1
83,21,28,6
84,21,28,2
84,20,29,1
83,21,29,2
83,20,30,1
82,21,30,1
81,22,30,2
81,21,31,1
80,22,31,1
79,23,31,1
78,24,31,1
77,25,31,1
76,26,31,2
76,25,32,2
76,24,33,1
75,25,33,6
76,25,33,2
76,24,34,1
75,25,34,6
76,25,34,1
75,26,34,2
75,25,35,1
74,26,35,6
75,26,35,2
75,25,36,1
74,26,36,1
73,27,36,1
72,28,36,1
71,29,36,1
70,30,36,2
70,29,37,2
70,28,38,6
71,28,38,1
70,29,38,2
70,28,39,1
69,29,39,2
69,28,40,2
69,27,41,6
70,27,41,6
71,27,41,2
71,26,42,1
70,27,42,2
70,26,43,2
70,25,44,1
69,26,44,2
69,25,45,2
69,24,46,2
69,23,47,2
69,22,48,2
69,21,49,1
68,22,49,2
68,21,50,1
67,22,50,2
67,21,51,1
66,22,51,2
66,21,52,1
65,22,52,2
65,21,53,1
64,22,53,6
65,22,53,2
65,21,54,6
66,21,54,2
66,20,55,6
67,20,55,1
66,21,55,6
67,21,55,1
66,22,55,6
67,22,55,1
66,23,55,1
65,24,55,1
64,25,55,2
64,24,56,6
65,24,56,1
64,25,56,2
64,24,57,2
64,23,58,1
63,24,58,1
62,25,58,6
63,25,58,2
63,24,59,2
63,23,60,1
62,24,60,2
62,23,61,1
61,24,61,6
62,24,61,2
62,23,62,1
61,24,62,1
60,25,62,2
60,24,63,1
59,25,63,6
60,25,63,6
61,25,63,2
61,24,64,1
60,25,64,6
61,25,64,1
60,26,64,2
60,25,65,1
59,26,65,1
58,27,65,6
59,27,65,1
58,28,65,1
57,29,65,1
56,30,65,6
57,30,65,1
56,31,65,1
55,32,65,2
55,31,66,2
55,30,67,2
55,29,68,6
56,29,68,1
55,30,68,2
55,29,69,1
54,30,69,6
55,30,69,2
55,29,70,6
56,29,70,1
55,30,70,1
54,31,70,1
53,32,70,2
53,31,71,1
52,32,71,1
51,33,71,2
51,32,72,6
52,32,72,2
52,31,73,1
51,32,73,1
50,33,73,2
50,32,74,2
50,31,75,1
49,32,75,1
48,33,75,1
47,34,75,1
46,35,75,1
45,36,75,2
45,35,76,6
46,35,76,1
45,36,76,6
46,36,76,6
47,36,76,2
47,35,77,6
48,35,77,2
48,34,78,1
47,35,78,1
46,36,78,2
46,35,79,2
46,34,80,1
45,35,80,2
45,34,81,6
46,34,81,1
45,35,81,6
46,35,81,1
45,36,81,6
46,36,81,1
45,37,81,1
44,38,81,2
44,37,82,6
45,37,82,6
46,37,82,2
46,36,83,1
45,37,83,2
45,36,84,1
44,37,84,6
45,37,84,6
46,37,84,6
47,37,84,6
48,37,84,6
49,37,84,1
48,38,84,1
47,39,84,6
48,39,84,1
47,40,84,2
47,39,85,2
47,38,86,2
47,37,87,2
47,36,88,2
47,35,89,6
48,35,89,2
48,34,90,2
48,33,91,2
48,32,92,6
49,32,92,1
48,33,92,1
47,34,92,6
48,34,92,6
49,34,92,6
50,34,92,1
49,35,92,1
48,36,92,1
47,37,92,1
46,38,92,6
47,38,92,2
47,37,93,2
47,36,94,6
48,36,94,2
48,35,95,1
47,36,95,2
47,35,96,2
47,34,97,2
47,33,98,2
47,32,99,2
47,31,100,5
47,31,99,6
48,31,99,6
49,31,99,2
49,30,100,6
50,30,100,6
51,30,100,1
50,31,100,2
50,30,101,2
50,29,102,6
51,29,102,2
51,28,103,6
52,28,103,2
52,27,104,1
51,28,104,6
52,28,104,1
51,29,104,6
52,29,104,2
52,28,105,1
51,29,105,2
51,28,106,1
50,29,106,1
49,30,106,1
48,31,106,2
48,30,107,2
48,29,108,2
48,28,109,1
47,29,109,6
48,29,109,6
49,29,109,6
50,29,109,2
50,28,110,2
50,27,111,6
51,27,111,6
52,27,111,1
51,28,111,1
50,29,111,2
50,28,112,1
49,29,112,2
49,28,113,2
49,27,114,6
50,27,114,1
