A,B,Reaction Type
49,1,1
50,0,3
49,0,6
49,1,1
50,0,4
51,0,3
50,0,6
50,1,2
49,2,1
50,1,2
49,2,2
48,3,1
49,2,2
48,3,1
49,2,1
50,1,1
51,0,4
52,0,4
53,0,4
54,0,3
53,0,6
53,1,2
52,2,1
53,1,1
54,0,3
53,0,3
52,0,4
53,0,4
54,0,4
55,0,6
55,1,1
56,0,3
55,0,6
55,1,1
56,0,3
55,0,3
54,0,4
55,0,3
54,0,4
55,0,3
54,0,3
53,0,4
54,0,4
55,0,6
55,1,2
54,2,1
55,1,1
56,0,6
56,1,1
57,0,3
56,0,6
56,1,2
55,2,2
54,3,1
55,2,2
54,3,2
53,4,2
52,5,2
51,6,1
52,5,1
53,4,2
52,5,2
51,6,1
52,5,2
51,6,2
50,7,1
51,6,1
52,5,1
53,4,2
52,5,1
53,4,1
54,3,2
53,4,2
52,5,1
53,4,2
52,5,2
51,6,1
52,5,2
51,6,1
52,5,1
53,4,2
52,5,1
53,4,2
52,5,1
53,4,1
54,3,1
55,2,2
54,3,1
55,2,2
54,3,1
55,2,1
56,1,1
57,0,4
58,0,4
59,0,6
59,1,2
58,2,1
59,1,2
58,2,1
59,1,2
58,2,2
57,3,1
58,2,2
57,3,2
56,4,2
55,5,1
56,4,1
57,3,2
56,4,2
55,5,1
56,4,1
57,3,1
58,2,1
59,1,1
60,0,3
59,0,6
59,1,1
60,0,3
59,0,4
60,0,6
60,1,1
61,0,3
60,0,6
60,1,1
61,0,3
60,0,3
59,0,4
60,0,4
61,0,3
60,0,3
59,0,4
60,0,3
59,0,4
60,0,6
60,1,1
61,0,3
60,0,3
59,0,4
60,0,6
60,1,2
59,2,2
58,3,2
57,4,1
58,3,2
57,4,2
56,5,2
55,6,1
56,5,2
55,6,2
54,7,2
53,8,1
54,7,1
55,6,1
56,5,2
55,6,1
56,5,2
55,6,2
54,7,1
55,6,2
54,7,1
55,6,1
56,5,1
57,4,2
56,5,2
55,6,2
54,7,2
53,8,1
54,7,1
55,6,1
56,5,1
57,4,2
56,5,1
57,4,2
56,5,1
57,4,2
56,5,1
57,4,2
56,5,1
57,4,1
58,3,1
59,2,1
60,1,1
61,0,6
61,1,2
60,2,1
61,1,1
62,0,6
62,1,2
61,2,2
60,3,2
59,4,2
58,5,1
59,4,2
58,5,2
57,6,1
58,5,2
57,6,2
56,7,2
55,8,1
56,7,2
55,8,1
56,7,2
55,8,1
56,7,2
55,8,2
54,9,1
55,8,1
56,7,2
55,8,1
56,7,1
57,6,1
58,5,1
59,4,1
60,3,1
61,2,2
60,3,1
61,2,2
60,3,1
61,2,1
62,1,2
61,2,1
62,1,2
61,2,2
60,3,1
61,2,1
62,1,1
63,0,3
62,0,3
61,0,3
60,0,3
59,0,3
58,0,6
58,1,1
59,0,4
60,0,3
59,0,3
58,0,4
59,0,6
59,1,2
58,2,2
57,3,1
58,2,2
57,3,1
58,2,2
57,3,2
56,4,2
55,5,1
56,4,2
55,5,2
54,6,2
53,7,1
54,6,1
55,5,1
56,4,2
55,5,2
54,6,1
55,5,2
54,6,1
55,5,1
56,4,1
57,3,2
56,4,2
55,5,1
56,4,2
55,5,1
56,4,2
55,5,2
54,6,1
55,5,2
54,6,1
55,5,1
56,4,1
57,3,2
56,4,1
57,3,1
58,2,1
59,1,2
58,2,1
59,1,2
58,2,1
59,1,1
60,0,3
59,0,3
58,0,4
59,0,3
58,0,3
57,0,3
56,0,6
56,1,2
55,2,2
54,3,2
53,4,2
52,5,1
53,4,1
54,3,2
53,4,2
52,5,2
51,6,2
50,7,2
49,8,1
50,7,2
49,8,1
50,7,1
51,6,1
52,5,2
51,6,2
50,7,1
51,6,1
52,5,1
53,4,2
52,5,2
51,6,2
50,7,2
49,8,1
50,7,2
49,8,1
50,7,2
49,8,1
50,7,2
49,8,1
50,7,2
49,8,2
48,9,2
47,10,1
48,9,1
49,8,1
50,7,2
49,8,1
50,7,1
51,6,1
52,5,1
53,4,1
54,3,2
53,4,2
52,5,1
53,4,2
52,5,2
51,6,1
52,5,1
53,4,2
52,5,1
53,4,1
54,3,2
53,4,2
52,5,2
51,6,2
50,7,1
51,6,1
52,5,2
51,6,2
50,7,2
49,8,1
50,7,2
49,8,2
48,9,1
49,8,2
48,9,1
49,8,1
50,7,1
51,6,1
52,5,1
53,4,1
54,3,1
55,2,2
54,3,2
53,4,2
52,5,2
51,6,1
52,5,1
53,4,1
54,3,1
55,2,2
54,3,1
55,2,2
54,3,2
53,4,2
52,5,1
53,4,1
54,3,2
53,4,1
54,3,1
55,2,2
54,3,1
55,2,2
54,3,1
55,2,2
54,3,2
53,4,2
52,5,2
51,6,2
50,7,2
49,8,2
48,9,2
47,10,1
48,9,2
47,10,1
48,9,1
49,8,2
48,9,1
49,8,2
48,9,1
49,8,2
48,9,1
49,8,2
48,9,2
47,10,2
46,11,2
45,12,2
44,13,2
43,14,1
44,13,1
45,12,2
44,13,1
45,12,1
46,11,1
47,10,1
48,9,1
49,8,1
50,7,2
49,8,2
48,9,1
49,8,2
48,9,2
47,10,2
46,11,2
45,12,1
46,11,1
47,10,1
48,9,1
49,8,1
50,7,1
51,6,1
52,5,2
51,6,2
50,7,1
51,6,2
50,7,1
51,6,2
50,7,2
49,8,2
48,9,2
47,10,2
46,11,2
45,12,2
44,13,1
45,12,2
44,13,1
45,12,2
44,13,2
43,14,2
42,15,1
43,14,1
44,13,1
45,12,1
46,11,2
45,12,2
44,13,1
45,12,1
46,11,1
47,10,2
46,11,2
45,12,2
44,13,2
43,14,1
44,13,1
45,12,2
44,13,2
43,14,2
42,15,2
41,16,2
40,17,1
41,16,1
42,15,2
41,16,2
40,17,1
41,16,2
40,17,1
41,16,1
42,15,1
43,14,1
44,13,2
43,14,2
42,15,2
41,16,2
40,17,2
39,18,2
38,19,1
39,18,1
40,17,1
41,16,1
42,15,1
43,14,2
42,15,1
43,14,2
42,15,1
43,14,2
42,15,2
41,16,1
42,15,2
41,16,2
40,17,2
39,18,2
38,19,1
39,18,2
38,19,1
39,18,1
40,17,1
41,16,2
40,17,2
39,18,2
38,19,1
39,18,2
38,19,1
39,18,1
40,17,2
39,18,1
40,17,2
39,18,2
38,19,2
37,20,2
36,21,2
35,22,1
36,21,2
35,22,2
34,23,1
35,22,2
34,23,1
35,22,1
36,21,2
35,22,2
34,23,1
35,22,2
34,23,2
33,24,2
32,25,2
31,26,1
32,25,1
33,24,1
34,23,2
33,24,2
32,25,1
33,24,2
32,25,1
33,24,2
32,25,1
33,24,2
32,25,2
31,26,1
32,25,2
31,26,2
30,27,1
31,26,2
30,27,1
31,26,1
32,25,1
33,24,2
32,25,1
33,24,1
34,23,1
35,22,1
36,21,2
35,22,2
34,23,1
35,22,2
34,23,1
35,22,2
34,23,2
33,24,1
34,23,1
35,22,1
36,21,1
37,20,1
38,19,2
37,20,2
36,21,2
35,22,2
34,23,1
35,22,2
34,23,1
35,22,2
34,23,1
35,22,2
34,23,2
33,24,2
32,25,1
33,24,1
34,23,1
35,22,1
36,21,2
35,22,1
36,21,2
35,22,2
34,23,1
35,22,2
34,23,2
33,24,1
34,23,2
33,24,1
34,23,2
33,24,2
32,25,1
33,24,1
34,23,2
33,24,1
34,23,1
35,22,2
34,23,2
33,24,1
34,23,2
33,24,1
34,23,2
33,24,1
34,23,2
33,24,2
32,25,2
31,26,2
30,27,2
29,28,2
28,29,2
27,30,2
26,31,1
27,30,1
28,29,1
29,28,2
28,29,2
27,30,1
28,29,1
29,28,1
30,27,2
29,28,1
30,27,2
29,28,1
30,27,1
31,26,1
32,25,2
31,26,2
30,27,2
29,28,1
30,27,1
31,26,1
32,25,1
33,24,2
32,25,2
31,26,2
30,27,1
31,26,2
30,27,2
29,28,2
28,29,1
29,28,1
30,27,2
29,28,1
30,27,2
29,28,2
28,29,1
29,28,2
28,29,1
29,28,1
30,27,1
31,26,1
32,25,1
33,24,2
32,25,2
31,26,1
32,25,1
33,24,2
32,25,2
31,26,1
32,25,1
33,24,2
32,25,2
31,26,2
30,27,2
29,28,1
30,27,2
29,28,1
30,27,1
31,26,1
32,25,2
31,26,1
32,25,1
33,24,2
32,25,2
31,26,1
32,25,2
31,26,1
32,25,2
31,26,2
30,27,1
31,26,1
